Athlete,Team,Trim/Split Name,Date,Start Time,Duration  Total (min:sec),Distance  Total (m),Distance Rate (m/min),Speed Avg (km/h),Speed Max (km/h),Speed AvgSpeed Zone Total (km/h),Speed MaxSpeed Zone Total (km/h),DistanceSpeed Zone Total  (m),DistanceSpeed Zone 1  (m),DistanceSpeed Zone 2  (m),DistanceSpeed Zone 3  (m),DistanceSpeed Zone 4  (m),DistanceSpeed Zone 5  (m),DurationSpeed Zone 1 (min:sec),DurationSpeed Zone 2 (min:sec),DurationSpeed Zone 3 (min:sec),DurationSpeed Zone 4 (min:sec),DurationSpeed Zone 5 (min:sec),Acceleration MaxAcceleration Zone Total (m/s/s)
"2, Athlete",RussEquestrian,Ride 1,6/09/2024,6:18:00 am,22:00,3543,161,9.7,33,17.2,33,3542,1195,71,1452,824,0,16:09,0:18,3:42,1:50,0:00,5.3
"4, Athlete",RussEquestrian,Ride 1,6/09/2024,6:18:00 am,22:00,3468,158,9.5,37,17.2,37,3468,1140,84,1538,706,0,16:08,0:22,3:55,1:34,0:00,5.1
"6, Athlete",RussEquestrian,Ride 1,6/09/2024,6:18:00 am,22:00,3720,169,10.2,32.3,17.2,32.3,3719,1341,112,1442,824,0,15:55,0:31,3:46,1:49,0:00,3.9
"2, Athlete",RussEquestrian,Ride 2,6/09/2024,6:45:00 am,15:00,3001,200,12,34,17.2,34,3001,660,173,948,1220,0,9:09,0:46,2:24,2:40,0:00,5.5
"4, Athlete",RussEquestrian,Ride 2,6/09/2024,6:45:00 am,15:00,2989,199,12,35.4,17.2,35.4,2990,641,179,901,1269,0,9:07,0:47,2:19,2:47,0:00,6.2
"6, Athlete",RussEquestrian,Ride 2,6/09/2024,6:45:00 am,15:00,3286,219,13.2,33.7,17.4,33.7,3285,787,262,885,1351,0,8:35,1:12,2:16,2:55,0:00,3.8
"2, Athlete",RussEquestrian,Ride 3,6/09/2024,7:15:00 am,15:00,3071,205,12.3,32.4,17.5,32.4,3071,801,258,664,1348,0,9:14,1:06,1:45,2:54,0:00,3.4
"4, Athlete",RussEquestrian,Ride 3,6/09/2024,7:15:00 am,15:00,3020,202,12.1,35.2,17.4,35.2,3020,772,278,680,1290,0,9:12,1:12,1:47,2:48,0:00,6.1
"6, Athlete",RussEquestrian,Ride 3,6/09/2024,7:15:00 am,15:00,3314,228,13.7,35.6,17.8,35.6,3314,900,380,671,1363,0,8:13,1:43,1:45,2:52,0:00,4.5
"2, Athlete",RussEquestrian,Ride 4,6/09/2024,7:40:00 am,0:00:00,2883,120,7.2,34.6,17.2,34.6,2883,1297,102,661,823,0,20:02,0:25,1:43,1:48,0:00,5.8
"4, Athlete",RussEquestrian,Ride 4,6/09/2024,7:40:00 am,0:00:00,2902,121,7.3,31.6,17,31.6,2903,1308,94,613,888,0,20:01,0:24,1:36,1:57,0:00,4
"6, Athlete",RussEquestrian,Ride 4,6/09/2024,7:40:00 am,0:00:00,3279,137,8.2,35.3,17,35.3,3279,1623,134,605,917,0,19:45,0:39,1:36,1:59,0:00,4.4
